corpus_key,display_label,tier,unit,state,held_sections,held_sections_total_incl_unavailable,embedded_sections,est_sections,est_provenance,denominator_source_to_walk,walk_lead_status,notes
committees-evidence,Parliamentary Committee Evidence (Other Publications),parliamentary,sitting-day or item,UNMEASURED (denominator set from this count),140567,142315,140567,140567,self-referential — set from the compiled count,committees.parliament.uk written-evidence API,CC-proposed (scaffold unavailable),
committees-reports,Parliamentary Committee Reports,parliamentary,sitting-day or item,UNMEASURED (denominator set from this count),323922,344773,323922,24876,self-referential — set from the compiled count,committees.parliament.uk publications API,CC-proposed (scaffold unavailable),
commons-divisions-votes,Commons division votes (per-member),parliamentary,division,UNMEASURED (denominator set from this count),2361,2361,2361,2361,self-referential — set from the compiled count,commonsvotes-api.parliament.uk,CC-proposed (scaffold unavailable),
consultations,Consultations (GOV.UK),guidance,consultation,UNMEASURED (denominator set from this count),7448,7448,7448,7448,self-referential — set from the compiled count,gov.uk /search/policy-papers-and-consultations,CC-proposed (scaffold unavailable),
cps-guidance,CPS prosecution guidance,guidance,document,UNMEASURED (denominator set from this count),270,270,270,270,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
early-day-motions,Early Day Motions,other,motion,UNMEASURED (denominator set from this count),60737,60737,60737,60737,self-referential — set from the compiled count,edm.parliament.uk paginated listing,CC-proposed (scaffold unavailable),
echr-hudoc,ECHR HUDOC (UK cases),caselaw,judgment,UNMEASURED (denominator set from this count),4410,4460,4410,4410,self-referential — set from the compiled count,"HUDOC API, respondent=GBR",CC-proposed (scaffold unavailable),
erskine-may,Erskine May — parliamentary procedure,other,document,"CLAIMED (target above count, provenance unproven)",1873,2038,1873,2038,unproven,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
et-decisions,Employment Tribunal Decisions (gov.uk 2017+),caselaw,decision,UNMEASURED (denominator set from this count),293399,293403,293399,293399,self-referential — set from the compiled count,gov.uk/employment-tribunal-decisions paginated listing,CC-proposed (scaffold unavailable),
eur-lex,EUR-Lex (Retained EU Law Origins),legislation,instrument,UNMEASURED (denominator set from this count),241571,241571,241571,90260,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
explanatory-memoranda,Explanatory Memoranda (SIs),legislation,instrument,UNMEASURED (denominator set from this count),21984,27428,21984,5420,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
explanatory-notes,Explanatory Notes (Acts),legislation,instrument,UNMEASURED (denominator set from this count),18651,18801,18651,410,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
fca-handbook,FCA Handbook,guidance,document,UNMEASURED (denominator set from this count),3661,3661,3660,3661,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
fca-publications,FCA Handbook,other,document,RETIRED,0,0,,20000,unproven,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,"superseded by fca-handbook (JSON API client, V10 — direct access to api-handbook.fca.org.uk)"
fca-regulators,FCA Regulated Firms (SPA),other,document,RETIRED,0,0,,150000,unproven,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,"superseded by fca-handbook (JSON API client, V10 — direct access to api-handbook.fca.org.uk)"
financial-corpus,Financial corpus (scoping pending),other,document,NOT STARTED,0,0,0,,none,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
govuk-core-docs,"Gov.uk core documents (PACE, Treasury books, white papers)",guidance,document,UNMEASURED (denominator set from this count),175,176,175,175,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
hansard-commons-a,"Hansard Commons (API, pre-1981)",other,document,RETIRED,0,0,,,none,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,"Retired — content covered by pwdata-debates bulk XML. No quota limit, broader historical coverage (1919 vs 1988)."
hansard-commons-b,"Hansard Commons (API, 1981–)",other,document,RETIRED,0,0,,,none,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,"Retired — content covered by pwdata-debates bulk XML. No quota limit, broader historical coverage (1919 vs 1988)."
hansard-lords-a,"Hansard Lords (API, pre-1981)",other,document,RETIRED,0,0,,,none,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,"Retired — content covered by pwdata-lords bulk XML. No quota limit, broader historical coverage (1999 vs TWFY API)."
hansard-lords-b,"Hansard Lords (API, 1981–)",other,document,RETIRED,0,0,,,none,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,"Retired — content covered by pwdata-lords bulk XML. No quota limit, broader historical coverage (1999 vs TWFY API)."
historic-hansard,Historic Hansard 1803-1999,parliamentary,House + sitting date,UNMEASURED (denominator set from this count),4641085,4641117,4641085,4641085,self-referential — set from the compiled count,api.parliament.uk/historic-hansard sittings index,CC-proposed (scaffold unavailable),
hmrc-ancillary,HMRC Ancillary Instruments (RCB/SoP/ESC/Notices),guidance,document,UNMEASURED (denominator set from this count),472,479,472,472,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
hmrc-codes-guidance,HMRC Technical Manuals,guidance,document,UNMEASURED (denominator set from this count),14067,14067,14067,14067,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
hmrc-manuals,HMRC Manuals (full depth),guidance,manual page,UNMEASURED (denominator set from this count),69136,85197,69136,69136,self-referential — set from the compiled count,gov.uk HMRC manual index + per-manual contents tree,CC-proposed (scaffold unavailable),
hmrc-tiins,HMRC Tax Information & Impact Notes,guidance,document,UNMEASURED (denominator set from this count),791,791,791,791,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
ico,ICO decisions & enforcement,guidance,document,"CLAIMED (target above count, provenance unproven)",26562,26591,26562,26576,unproven,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
impact-assessments,Impact assessments (legislation.gov.uk),legislation,impact assessment,"CLAIMED (target above count, provenance unproven)",18756,18759,18756,18759,unproven,legislation.gov.uk /ukia/ bulk feed,CC-proposed (scaffold unavailable),
independent-reviews,Independent reviews & audits,guidance,document,"CLAIMED (target above count, provenance unproven)",657,667,657,672,unproven,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
inquiry-evidence,Public-inquiry evidence (§0-governed),guidance,document,"CLAIMED (target above count, provenance unproven)",89,90,89,90,unproven,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
inquiry-reports,Public inquiry reports (final reports; reports-only),guidance,report,UNMEASURED (denominator set from this count),140,146,140,140,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
lawcom,Law Commission (E&W),guidance,document,UNMEASURED (denominator set from this count),262,263,262,262,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
lda-commonsdivisions,Commons Divisions (LDA),parliamentary,sitting-day or item,UNMEASURED (denominator set from this count),5553,5553,5553,5553,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
lda-commonsoralquestions,Commons Oral Questions (LDA),parliamentary,sitting-day or item,UNMEASURED (denominator set from this count),69529,69529,69529,69529,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
lda-commonswrittenquestions,Commons Written Questions (LDA),parliamentary,sitting-day or item,RETIRED,8000,8000,8000,619000,unproven,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,Retired V16 — content covered by pwdata-wrans bulk XML from TWFY (2001–present)
lda-lordsdivisions,Lords Divisions (LDA),parliamentary,sitting-day or item,UNMEASURED (denominator set from this count),2089,2089,2089,2089,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
lda-lordswrittenquestions,Lords Written Questions (LDA),parliamentary,sitting-day or item,RETIRED,20500,20500,20500,103000,unproven,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,Retired V16 — content covered by pwdata-wrans bulk XML from TWFY (2001–present)
legacy-legislation-section,Legacy legislation sections (pre-Railway pipeline),other,document,NOT STARTED,0,0,0,914274,unproven,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
lgsco,LGSCO decisions,guidance,document,"CLAIMED (target above count, provenance unproven)",40,40,40,100,unproven,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
lords-divisions-votes,Lords division votes (per-member),parliamentary,division,UNMEASURED (denominator set from this count),3284,3284,3284,3284,self-referential — set from the compiled count,lordsvotes-api.parliament.uk,CC-proposed (scaffold unavailable),
members-interests,Register of Members' Financial Interests,other,register edition,UNMEASURED (denominator set from this count),3448,3448,3448,3415,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
nao-reports,NAO Reports,guidance,report,UNMEASURED (denominator set from this count),2570,3983,2570,2570,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
ni-judgments,NI Judgments (Judiciary NI),caselaw,judgment,UNMEASURED (denominator set from this count),7772,7927,7772,7772,self-referential — set from the compiled count,judiciaryni.uk decisions listing,CC-proposed (scaffold unavailable),
niassembly-hansard,NI Assembly Hansard (2012-),parliamentary,sitting,UNMEASURED (denominator set from this count),196348,196348,196348,196348,self-referential — set from the compiled count,aims.niassembly.gov.uk official report index,CC-proposed (scaffold unavailable),
nilawcom,NI Law Commission Reports,guidance,document,UNMEASURED (denominator set from this count),17,17,17,17,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
oecd,OECD iLibrary (free summaries),guidance,document,UNMEASURED (denominator set from this count),505,505,505,505,self-referential — set from the compiled count,⚠ NO WALK POSSIBLE AS SEEDED — the collection holds no OECD content (A3),CC-proposed (scaffold unavailable),
ofcom,Ofcom publications,guidance,document,UNMEASURED (denominator set from this count),4169,4169,4169,4169,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
ofgem,Ofgem publications,guidance,document,UNMEASURED (denominator set from this count),17143,17161,17143,17142,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
ots-reports,Office of Tax Simplification Reports,guidance,document,UNMEASURED (denominator set from this count),497,497,497,497,self-referential — set from the compiled count,gov.uk OTS publication listing (⚠ contaminated with news/speeches — A3),CC-proposed (scaffold unavailable),
parliament-treaties,Parliament Treaty Tracker (CRaG 2010 scrutiny register),parliamentary,sitting-day or item,UNMEASURED (denominator set from this count),328,328,328,328,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
petitions,UK e-petitions (open + archived),other,petition,"CLAIMED (target above count, provenance unproven)",49529,49529,49529,66075,unproven,petition.parliament.uk/petitions.json (open + archived),CC-proposed (scaffold unavailable),
planning-policy,Planning Policy (NPPF/PPG),guidance,document,UNMEASURED (denominator set from this count),64,64,64,64,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
primary-acts-2000plus,UK Primary Acts (2000+),legislation,instrument,UNMEASURED (denominator set from this count),147788,147975,147785,145704,self-referential — set from the compiled count,legislation.gov.uk year feeds /ukpga/{year}/data.feed (walked 2026-08-12),CC-proposed (scaffold unavailable),
primary-acts-pre-2000,UK Primary Acts (pre-2000),legislation,instrument,UNMEASURED (denominator set from this count),166290,179435,166287,165438,self-referential — set from the compiled count,legislation.gov.uk year feeds /ukpga/{year}/data.feed (walked 2026-08-12),CC-proposed (scaffold unavailable),
pwdata-debates,Commons Hansard (per-speech),parliamentary,sitting-day file,UNMEASURED (denominator set from this count),6387304,6391345,6387316,6387304,self-referential — set from the compiled count,ParlParse scrapedxml/debates/ directory index (latest revision letter per day),CC-proposed (scaffold unavailable),
pwdata-lords,Lords Hansard (per-speech),parliamentary,sitting-day file,UNMEASURED (denominator set from this count),752805,754546,752807,752805,self-referential — set from the compiled count,ParlParse scrapedxml/lordspages/ directory index,CC-proposed (scaffold unavailable),
pwdata-lordswms,Lords Written Statements (per-statement),parliamentary,sitting-day file,UNMEASURED (denominator set from this count),20932,21463,20932,20932,self-referential — set from the compiled count,ParlParse scrapedxml/lordswms/ directory index,CC-proposed (scaffold unavailable),
pwdata-lordswrans,Lords Written Answers (per-Q&A),parliamentary,sitting-day file,UNMEASURED (denominator set from this count),175592,176131,175576,175174,self-referential — set from the compiled count,ParlParse scrapedxml/lordswrans/ directory index,CC-proposed (scaffold unavailable),
pwdata-westminster,Westminster Hall (per-speech),parliamentary,sitting-day file,UNMEASURED (denominator set from this count),239262,240582,239264,239262,self-referential — set from the compiled count,ParlParse scrapedxml/westminhall/ directory index,CC-proposed (scaffold unavailable),
pwdata-wms,Commons Written Statements (per-statement),parliamentary,sitting-day file,UNMEASURED (denominator set from this count),23863,24962,23863,23863,self-referential — set from the compiled count,ParlParse scrapedxml/wms/ directory index,CC-proposed (scaffold unavailable),
pwdata-wrans,Commons Written Answers (per-Q&A),parliamentary,sitting-day file,UNMEASURED (denominator set from this count),1233016,1235281,1232942,1232751,self-referential — set from the compiled count,ParlParse scrapedxml/wrans/ directory index,CC-proposed (scaffold unavailable),
quangos-govuk,"Quangos / ALBs (gov.uk, unenumerated-by-org)",guidance,document,UNMEASURED (denominator set from this count),171030,171190,171030,170985,self-referential — set from the compiled count,"gov.uk /api/organisations, then per-organisation content — needs a DECLARED scope list",CC-proposed (scaffold unavailable),
regional,Devolved Legislation (Scot/Wal/NI),legislation,instrument,UNMEASURED (denominator set from this count),341093,357161,341083,331124,self-referential — set from the compiled count,legislation.gov.uk asp/ssi/wsi/anaw/asc/nia/nisi/nisr year feeds (walked 2026-08-12),CC-proposed (scaffold unavailable),
retained-eu,Retained EU Law,legislation,instrument,UNMEASURED (denominator set from this count),199224,319346,199224,187555,self-referential — set from the compiled count,legislation.gov.uk eur/eudn/eudr year feeds (walked 2026-08-12),CC-proposed (scaffold unavailable),
scotlawcom,Scottish Law Commission Reports,guidance,document,UNMEASURED (denominator set from this count),350,350,350,350,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
scottish-courts,Scottish courts judgments,caselaw,judgment,"CLAIMED (target above count, provenance unproven)",13056,13070,13056,13070,unproven,scotcourts.gov.uk opinions listing (⚠ V27 recorded the search API as blocked),CC-proposed (scaffold unavailable),
scottish-parliament-or,Scottish Parliament Official Report,other,meeting,UNMEASURED (denominator set from this count),1043264,1044188,1043081,1042819,self-referential — set from the compiled count,parliament.scot Official Report meeting index,CC-proposed (scaffold unavailable),
senedd-cofnod,Senedd Cofnod / Record of Proceedings (1999-),parliamentary,plenary meeting,UNMEASURED (denominator set from this count),191730,191756,191730,191730,self-referential — set from the compiled count,record.senedd.wales /Meeting/{id} redirect classification (713 plenaries held),CC-proposed (scaffold unavailable),
sentencing-council,Sentencing Council Guidelines,guidance,document,UNMEASURED (denominator set from this count),253,253,253,253,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
si-2010plus,Statutory Instruments (2010+),legislation,instrument,UNMEASURED (denominator set from this count),275744,287078,275718,270339,self-referential — set from the compiled count,legislation.gov.uk /uksi/{year}/data.feed (walked 2026-08-12),CC-proposed (scaffold unavailable),
si-pre-2010,Statutory Instruments (pre-2010),legislation,instrument,UNMEASURED (denominator set from this count),462809,489450,462808,419250,self-referential — set from the compiled count,legislation.gov.uk /uksi/{year}/data.feed (walked 2026-08-12),CC-proposed (scaffold unavailable),
ssrn,SSRN UK Legal Scholarship,other,document,BLOCKED,0,0,0,50000,unproven,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,"licence-hostile (author copyright, no open licence); WAF intermittent — V21 probe got 200 JSON where V20 got hard 403"
tax-treaties-dta,Double Taxation Agreements (gov.uk),parliamentary,sitting-day or item,UNMEASURED (denominator set from this count),324,324,324,324,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
tax-tribunals,Tax Tribunals (VAT&D/SpC/FTT-TC),caselaw,judgment,UNMEASURED (denominator set from this count),12089,13099,12089,12089,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
tna-caselaw,Find Case Law – TNA (incl. tribunals V19),caselaw,judgment,UNMEASURED (denominator set from this count),74896,74896,74896,74896,self-referential — set from the compiled count,"Find Case Law Atom feed, per court per year",CC-proposed (scaffold unavailable),
uk-treaties,UK Treaties (gov.uk),parliamentary,sitting-day or item,UNMEASURED (denominator set from this count),3250,3264,3250,3250,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
uk-treaties-fcdo,"UK Treaties Online (FCDO, full universe)",parliamentary,sitting-day or item,UNMEASURED (denominator set from this count),23372,23372,23372,23372,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
ukci,Church Instruments,other,document,NOT STARTED,0,0,0,,none,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
ukcm,Church Measures,other,document,NOT STARTED,0,0,0,,none,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
written-answers,Written answers (legacy),parliamentary,sitting-day or item,UNMEASURED (denominator set from this count),143,143,143,143,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
written-statements,Parliamentary Written Statements,parliamentary,sitting-day or item,RETIRED,129,129,129,17487,unproven,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,superseded by pwdata-wms/lordswms per-speech corpora (V20 audit)
legacy-legislation-section,Legacy LegislationSection table (pre-Railway pipeline),legislation,instrument,"OUTSIDE THE CORPUS — not searchable, excluded from every total",914274,914274,0,,n/a,n/a — superseded by corpus_sections,n/a,"127,790 instruments; A7 finds only 29 of them are an independent gap"

# RECONCILIATION
# live collections (searchable),18243823
# retired collections (still held and still indexed),28629
# sum,18272452
# corpus_sections compiled total,18272452
# legacy LegislationSection (outside the sum),914274
# searchable corpus per the brief's definition = live only,18243823
